BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID
1,5927870.4,1965737.1,292.9812003,180.008784,20S08E07E01
10006,5916069.8,2002267.3,255.3131458,220.010736,19S07E03H02
10010,5903934.3,2005132,261.8523377,420.020496,19S07E05B02
10011,5913906.3,1994833.5,320.0969905,245.011956,19S07E10P01
10016,5921189.4,1994468.2,262.7511229,248.0121024,19S07E13D03
10022,5921387.9,1974709.7,276.5493276,700.03416,19S07E36N01
10025,5944321.4,1977975.8,393.1709257,473.0230824,19S08E27N03
10030,5936239.1,1977282.7,400.1885846,564.0275232,19S08E32A01
10032,5941681.9,1974840.7,382.1211949,520.025376,19S08E33J02
10033,5938775.4,1973236,386.5403966,600.02928,19S08E33P01
10039,5936005.3,1968031.7,343.2209807,372.0181536,20S08E05R01
10046,5932454.9,1967841.4,320.6151936,316.0154208,20S08E08C01
10047,5932417.9,1967797.8,320.1478034,306.0149328,20S08E08C02
10051,5936398.6,1965801.9,302.9056455,116.0056608,20S08E08H02
10052,5936161.4,1963291.1,324.0051528,214.0104432,20S08E08M01
10065,5933174.8,1957491,313.3030349,70.003416,20S08E17P01
1007,5792347.6,2124223.3,63.45362496,452.0220576,15S/03E-15B01
10072,5957732.9,1953428.9,411.8824481,238.0116144,20S08E24J02
10077,5944073.4,1944383.4,460.4829145,432.0210816,20S08E34G01
1010,5812049.6,2125167.8,103.9591986,773.0377224,15S04E08L01
10103,5993382.2,1892223.2,532.1368407,192.0093696,22S10E17N01
10117,6006368,1880052.7,472.590674,300.01464,22S10E34B01
1014,5810620.1,2130924.8,104.2017854,600.02928,15S04E05M01
10140,5746795.5,2179888.6,12.88120561,508.0247904,13S02E19R01
10142,5748890,2182098.6,21.35481038,600.02928,13S02E20M02
10150,5748163,2179753.4,11.62047434,550.02684,13S02E29C02
10158,5745414,2171755.3,12.88104897,568.0277184,13S/02E-31K02
10163,5748393,2171789.8,11.36944326,885.043188,13S/02E-32E03
10164,5748683,2171142.3,7.974724075,1610.078568,13S/02E-32E05
10166,5749390.5,2170008.8,12.0918264,561.0273768,13S/02E-32P01
10167,5755373.5,2172501.6,26.95754965,115.005612,13S/02E-33G01
10191,5746864,2163233.8,12.74670597,604.0294752,14S/02E-06R02
1020,5808688.6,2107322.2,79.70951166,335.016348,15S/04E-31A02
1022,5796335.1,2123068,67.30712827,245.011956,15S03E14C01
1026,5879901.3,2003242.8,421.5099829,400.01952,18S06E34N50
10263,5795690.6,2151793.6,108.5362243,737.0359656,14S03E14N01
10266,5792547.6,2152865.8,109.115616,780.038064,14S/03E-15K03
10317,5796749.6,2122660.7,67.28251051,262.0127856,15S03E14G01
1033,5790587.6,2121968.5,58.4705889,520.025376,15S03E15G02
10353,5816789.6,2122451.5,155.0321463,381.0185928,15S04E16C01
10359,5812829.1,2117356.5,97.21206451,380.018544,15S04E20B03
10366,5829357.7,2116367.7,254.734543,250.0122,15S04E23H01
10369,5814572.6,2110566.5,100.7084936,324.0158112,15S/04E-29H02
10377,5823315.2,2100913.5,122.8897935,250.0122,16S/04E-03G01
10382,5822079.7,2096779.4,108.7267374,302.0147376,16S04E10C01
10386,5833243.7,2096423.6,190.7385356,630.030744,16S04E12B01
10389,5820927.2,2091033.2,103.0564312,384.0187392,16S04E15D01
10392,5815015.6,2088432.9,105.5017669,170.008296,16S04E16E01
10407,5842589.7,2097010.2,268.2978802,445.021716,16S05E08C01
10449,5847215.6,2053738.9,141.9881969,178.0086864,17S/05E-21A01
10455,5868464.7,2056412.1,190.4889592,705.034404,17S06E18G01
1046,5771196.1,2161618.3,60.05858271,672.0327936,14S/02E-12B01
10473,5872822.3,2029043.1,239.8289168,131.0063928,18S/06E-08K01
10479,5896435.8,2030097.9,224.4343222,244.0119072,18S/06E-12A01
10486,5881193.3,2011593,366.6582008,502.0244976,18S06E27N01
10504,5934938.4,1983424.2,409.4141062,690.033672,19S08E29K01
10505,5935251.4,1972543.9,363.6852386,258.0125904,20S08E05A01
10507,5932503.4,1967898.7,321.1388866,300.01464,20S08E05P01
10509,5948351.4,1959969.8,343.3824834,220.010736,20S08E14F02
1051,5785355.6,2124986,58.26074689,296.0144448,15S/03E-09P01
10512,5953950.9,1952897.2,362.3546787,160.007808,20S08E24L03
10523,5794419.8,2119789.8,58.3436082,536.0261568,15S03E14N
10524,5793103.9,2121196,60.16267094,555.027084,15S03E15J
10530,5901885.5,2000566.2,284.1017753,352.0171776,19S07E05P50
10531,5902758.9,1995231.3,357.2267717,352.0171776,19S07E08P50
10532,5910810.7,1997752,315.2666182,404.0197152,19S07E09H
10533,5902507.8,1987323.4,565.6300423,1000.0488,19S07E20F50
10534,5924508,1980308,282.0713476,155.007564,19S07E25K01
10535,5923151.8,1979024.1,268.484236,164.0080032,19S07E25P01
10539,5917963.1,1980437.9,338.6251868,711.0346968,19S07E26L01
10543,5924331.1,1975068.5,269.3662745,184.0089792,19S07E36K01
10545,5930382.4,1985816.8,364.3399306,348.0169824,19S08E19K02
10550,5930846.2,1973542.6,318.4147664,248.0121024,19S08E31R01
10555,5935335.5,1976439.7,386.1353046,418.0203984,19S08E32G02
10574,5909322.9,1942315.4,742.8512504,34.0016592,20S07E33R50
10576,5914667.6,1946072.4,675.9697979,129.0062952,20S07E34A50
10580,5914645.8,1944769.3,786.6887844,150.00732,20S07E34H50
10581,5910643.1,1942278.7,996.5899291,270.013176,20S07E34N50
10595,5945771.6,1972081.6,574.4829341,566.0276208,20S08E03B02
10598,5934450.2,1969540.3,337.0626796,308.0150304,20S08E05K50
1060,5762406,2141102,34.66988697,670.032696,14S02E34A03
10600,5932536,1969929.2,329.5389268,242.0118096,20S08E05M02
10609,5930717.4,1966348.1,304.3666495,268.0130784,20S08E07A50
10610,5930697.8,1965556.9,303.2183785,229.0111752,20S08E07H01
10611,5929341.2,1964272.6,281.7469787,210.010248,20S08E07K01
10618,5931468.2,1965298.4,310.537547,204.0099552,20S08E08E03
10619,5933181.8,1967048.1,322.3206875,60.002928,20S08E08C50
10620,5933181.8,1967048.1,322.3206875,61.0029768,20S08E08C51
10621,5933181.8,1967048.1,322.3206875,61.0029768,20S08E08C52
10622,5935101.3,1965848.7,329.7033818,108.0052704,20S08E08G02
10624,5931899.3,1964330.2,309.3573255,242.0118096,20S08E08M02
10625,5933263.3,1962808.9,302.8348331,93.0045384,20S08E08P01
10639,5936841,1965788.5,334.784939,192.0093696,20S08E09E04
10640,5936831.2,1965344.5,331.6637235,196.0095648,20S08E09E05
10648,5952880.2,1956904.2,343.9087257,168.0081984,20S08E13N01
10651,5949013.7,1959652.9,377.8750325,200.00976,20S08E14F01
10652,5950698.6,1958475.1,336.6603194,124.0060512,20S08E14K50
10653,5948927.3,1957022.1,322.8865012,130.006344,20S08E14P01
10654,5950671.5,1957144.5,322.8825749,88.0042944,20S08E14Q50
10655,5951582.2,1956943,319.238282,161.0078568,20S08E14R01
1066,5758266,2148448,26.51965764,189.0092232,14S02E22M50
10660,5938329.5,1958779.8,305.8634955,110.005368,20S08E16L50
10668,5927953.9,1958983.7,373.1948616,116.0056608,20S08E18L01
10669,5928376.8,1959414.8,365.2849865,120.005856,20S08E18L02
10684,5935741.6,1954757.8,300.1114986,220.010736,20S08E20H01
10690,5956728.9,1953289.8,413.6393406,200.00976,20S08E24J03
10695,5954535.6,1949252.7,396.3665491,35.001708,20S08E25D50
10698,5951950.3,1950509.7,309.2186998,35.001708,20S08E26A50
10700,5951950.3,1950509.7,309.2186998,35.001708,20S08E26A51
10701,5947909.1,1950897.8,328.1070192,224.0109312,20S08E26D02
10702,5951382.8,1949053.1,313.2947757,58.0028304,20S08E26H01
10703,5951926.1,1949203.2,315.3358811,104.0050752,20S08E26H51
10704,5951926.1,1949203.2,315.3358811,95.004636,20S08E26H52
10705,5951926.1,1949203.2,315.3358811,105.005124,20S08E26H53
10717,5952568.3,1943766,342.880623,178.0086864,20S08E36E01
10718,5955733,1943883.5,0,450.02196,20S08E36G50
10738,5959092.9,1942286.6,402.9429062,124.0060512,20S09E31L01
10739,5959472.2,1941080.7,0,266.0129808,20S09E31P50
10741,5967690.4,1941836.9,495.7317548,310.015128,20S09E32J50
10753,5966804,1935391.2,390.1919487,112.0054656,21S09E05R01
10756,5986653.8,1885742.7,1161.961195,140.006832,21S09E25A01
108,5814177.1,2096904.7,77.71574753,196.0095648,16S04E08
1084,5797585.1,2111909,62.98900635,208.0101504,15S03E26H02
1087,5802243.9,2112255,61.50787034,820.25,1087
1088,5804763.2,2110079.9,71.20211218,820.25,15S/04E-30M02
109,5788428.6,2153445.1,105.9667947,828.0404064,14S03E16J02
1090,5804891.8,2114040.4,56.68522281,290.014152,15S04E19N01
1095,5794337.9,2125014.5,66.01917796,484.0236192,15S/03E-11N03
1096,5794924.4,2124474.5,66.6348461,274.0133712,15S/03E-14D01
1097,5794086.6,2122977.3,63.20968441,189.0092232,15S/03E-14E01
1099,5798148.4,2120084.5,70.68934952,820.25,1099
1109,5746666.5,2159412.6,36.57234141,564.0275232,14S02E07J02
1123,5778784.1,2164191.8,96.58859479,620.030256,14S/03E-06J02
1125,5933458.9,1964313.6,323.5416285,100.00488,20S08E08Q02
113,5766859,2143887.3,34.72511106,552.0269376,14S/02E-26J03
1130,5905145.4,2011487.4,263.2016112,316.0154208,18S07E29R50
1138,5933144.4,1965951.1,324.3695422,227.0110776,20S08E08F01
1141,5931856.4,1967150.7,315.3769568,300.01464,20S08E08D50
1148,5778632.6,2135926,46.10802844,650.03172,14S/03E-32N04
1157,5750315,2164896.3,12.74324846,510.024888,14S/02E-05K01
1162,5748905,2167136.8,12.74343151,580.028304,14S/02E-05C03
1167,5778422.6,2161666.1,91.72843234,550.02684,14S/03E-07A01
1169,5749796,2166854.8,12.74324846,582.0284016,14S/02E-05F04
1185,5844886.7,2074492.3,135.9564619,347.0169336,16S05E32H02
1191,5767668,2150062.3,32.73413972,474.0231312,14S/02E-23H04
1201,5853907.2,2048138,256.8236461,265.012932,17S05E27A01
1203,5791882.1,2132401.8,63.16355318,706.0344528,15S03E03G50
1205,5762685.5,2149781.3,32.2576048,180.008784,14S02E22H02
1207,5870445.2,2040167,168.9553149,259.0126392,17S/06E-32E02
1209,5785744.1,2131176.3,57.29821689,570.027816,15S03E04K03
1229,5791078.1,2126293.5,62.78233004,820.25,1229
1230,5828077.2,2109897,237.7900519,621.0303048,15S04E26K01
1233,5749131.5,2163758.6,12.9738373,606.0295728,14S02E05P02
124,5816382.1,2122608.2,150.9529777,776.0378688,15S04E16D01
1242,5781434.6,2155676.8,94.46610202,800.03904,14S03E17C50
1252,5808803.6,2097191.4,172.7323039,421.0205448,16S/04E-07A01
1255,5743796,2160384.8,10.33579749,632.0308416,14S/02E-07L05
1257,5743791.5,2159332.3,10.10094972,645.031476,14S/02E-07L04
126,5878330.3,2047324.1,205.750557,750.0366,17S/06E-28B50
1262,5776427.1,2125256,48.3580479,465.022692,15S03E08T50
1265,5889443.8,2005644.9,340.1014111,500.0244,19S06E02A01
127,5833968.2,2083813.7,113.1457279,630.030744,16S04E24J51
1274,5931282.4,1981949.8,311.0027546,228.0111264,19S08E30A01
1279,5884282.8,2005844.3,285.6688988,400.01952,18S06E34R01
1281,5810355.6,2126220.8,87.60416238,663.0323544,15S04E08M03
1282,5769681.5,2146863,40.37973085,454.0221552,14S/02E-24P02
1287,5834452.2,2075169.7,112.9224178,302.0147376,16S/04E-36A01
1290,5805227.1,2128998,74.07655923,412.0201056,15S04E07D50
1301,5792331.6,2127353.3,63.88458658,332.0162016,15S03E10G01
13024,5749641.6,2176843.4,0,656.0320128,13S02E29F50
1304,5783717.6,2120939.7,64.44454074,688.0335744,15S03E16T52
13060,5744498.6,2172106.4,12.22485758,605.029524,13S/02E-31L01
13073,5748878.5,2173585.7,10.1733985,885.043188,13S02E32E02
1308,5873257.8,2027078.9,310.8366262,515.025132,18S/06E-08R01
13084,5751002.6,2171029.5,12.22500623,680.033184,13S02E32Q03
1309,5818148.6,2091224.6,88.4752074,493.0240584,16S/04E-16B51
13096,5754017.6,2170910,12.55310592,227.0110776,13S02E33N02
1311,5926909.9,1985837.6,274.2956913,222.0108336,19S07E24H02
1320,5953407.9,1956070.2,363.5828338,152.0074176,20S08E24D01
1326,5786930.6,2145253.8,43.22818331,588.0286944,14S03E28B02
1330,5921679.4,1974684.7,273.4040172,280.013664,19S07E36M02
1349,5927586.9,1983410.3,276.6065246,200.00976,19S08E30D01
1355,5845210.2,2090376.7,213.7517239,960.046848,16S05E17A51
1358,5785490.6,2146975.3,71.73001364,562.0274256,14S03E21M54
1359,5783245.1,2121392.5,58.96127262,206.0100528,15S/03E-16M01
136,5870290.7,2039524.8,171.2163387,188.0091744,17S06E32M01
1360,5780641.6,2122754.5,53.38449171,217.0105896,15S03E17G01
1361,5937434.9,1965138.3,339.263731,216.0105408,20S08E09E06
137,5750275,2166295.3,12.74324846,624.0304512,14S/02E-05G02
13719,5784335.4,2183852.5,0,320.015616,13S03E17R54
1377,5791248.1,2159582.3,150.1811529,708.0345504,14S03E10F03
1394,5937519.4,1965416.1,342.3887027,188.0091744,20S08E09E08
13S02E28B01,5755634.5,2177913.4,15.80711199,820.25,13S/02E-28B01
13S02E28E01,5752995.5,2176439.4,12.62128364,820.25,13S/02E-28E01
13S02E28M02,5753458.5,2176002.4,11.71038653,820.25,13S/02E-28M02
13S02E29J01,5751483.5,2175789.4,12.88120561,820.25,13S/02E-29J01
13S02E32J03,5752350.5,2171086.3,12.55310592,820.25,13S/02E-32J03
13S02E32M02,5748684.5,2170969.3,7.89702953,820.25,13S/02E-32M02
13S02E32N01,5747296.5,2169137.3,12.88282246,820.25,13S/02E-32N01
13S03E32Q01,5782452.6,2168312.3,75.60775666,820.25,13S/03E-32Q01
1401,5768051,2145604.8,33.06774397,488.0238144,14S/02E-25E02
1407,5805159.1,2131250.3,83.78656364,915.044652,15S04E06M50
