BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID,Top_Shallow,Top_Salinas,Top_180AQ,Top_MidAT,Top_400AQ,Top_DeepAT,Top_PasoRobles,Top_Purisima,Top_Bedrock,THK_Shallow,THK_Salinas,THK_180AQ,THK_MidAT,THK_400AQ,THK_DeepAT,THK_PasoRobles,THK_Purisima,THK_Bedrock,Base_Bedrock
1,5927870.4,1965737.1,293.0,180.0,20S08E07E01,293.0,253.0,252.0,250.0,249.0,248.0,247.0,147.0,-968.5,40.0,1.0,2.0,1.0,1.0,1.0,100.0,1115.4,500.0,-1468.5
10006,5916069.8,2002267.3,255.3,220.0,19S07E03H02,257.1,207.1,206.1,205.1,204.1,203.1,202.1,2.1,-781.2,50.0,1.0,1.0,1.0,1.0,1.0,200.0,783.3,500.0,-1281.2
10010,5903934.3,2005132.0,261.9,420.0,19S07E05B02,263.3,213.3,212.3,193.4,160.4,60.4,-39.6,-389.6,-1332.3,50.0,1.0,18.9,32.9,100.0,100.0,350.0,942.7,500.0,-1832.3
10011,5913906.3,1994833.5,320.1,245.0,19S07E10P01,319.9,269.9,268.9,267.9,266.9,265.9,264.9,64.9,-1260.4,50.0,1.0,1.0,1.0,1.0,1.0,200.0,1325.3,500.0,-1760.4
10016,5921189.4,1994468.2,262.8,248.0,19S07E13D03,257.5,207.5,206.5,205.5,204.5,203.5,202.5,2.5,-751.1,50.0,1.0,1.0,1.0,1.0,1.0,200.0,753.6,500.0,-1251.1
10022,5921387.9,1974709.7,276.5,700.0,19S07E36N01,277.7,227.7,226.7,225.7,224.7,223.7,222.7,22.7,-1132.8,50.0,1.0,1.0,1.0,1.0,1.0,200.0,1155.5,500.0,-1632.8
10025,5944321.4,1977975.8,393.2,473.0,19S08E27N03,393.1,368.1,367.1,366.1,365.1,364.1,363.1,338.1,189.2,25.0,1.0,1.0,1.0,1.0,1.0,25.0,148.9,500.0,-310.8
10030,5936239.1,1977282.7,400.2,564.0,19S08E32A01,400.2,350.2,349.2,348.2,347.2,346.2,345.2,145.2,-485.6,50.0,1.0,1.0,1.0,1.0,1.0,200.0,630.7,500.0,-985.6
10032,5941681.9,1974840.7,382.1,520.0,19S08E33J02,379.5,329.5,328.5,327.5,326.5,325.5,324.5,124.5,-515.3,50.0,1.0,1.0,1.0,1.0,1.0,200.0,639.8,500.0,-1015.3
10033,5938775.4,1973236.0,386.5,600.0,19S08E33P01,385.9,335.9,334.9,333.9,332.9,331.9,330.9,130.9,-405.8,50.0,1.0,1.0,1.0,1.0,1.0,200.0,536.7,500.0,-905.8
10039,5936005.3,1968031.7,343.2,372.0,20S08E05R01,344.7,294.7,293.7,292.7,291.7,290.7,289.7,89.7,-718.4,50.0,1.0,1.0,1.0,1.0,1.0,200.0,808.1,500.0,-1218.4
10046,5932454.9,1967841.4,320.6,316.0,20S08E08C01,320.0,270.0,269.0,268.0,267.0,266.0,265.0,65.0,-1083.5,50.0,1.0,1.0,1.0,1.0,1.0,200.0,1148.5,500.0,-1583.5
10047,5932417.9,1967797.8,320.1,306.0,20S08E08C02,320.0,270.0,269.0,268.0,267.0,266.0,265.0,65.0,-1083.5,50.0,1.0,1.0,1.0,1.0,1.0,200.0,1148.5,500.0,-1583.5
