BoreholeID,IntervalTop_Depth,IntervalBase_Depth,Lithologic descriptor,Easting,Northing,IntervalTop_Elevation,IntervalBase_Elevation
10046,73,148.01,boulders,5932454.9,1967841.4,247.6151936,172.6051936
10046,184,225.01,boulders,5932454.9,1967841.4,136.6151936,95.60519359
10046,243.02,281.02,boulders,5932454.9,1967841.4,77.59519359,39.59519359
10046,281.02,295.03,boulders,5932454.9,1967841.4,39.59519359,25.58519359
10046,70,80,boulders,5932454.9,1967841.4,250.6151936,240.6151936
10046,80,90,boulders,5932454.9,1967841.4,240.6151936,230.6151936
10046,90,100,boulders,5932454.9,1967841.4,230.6151936,220.6151936
10046,100,110,boulders,5932454.9,1967841.4,220.6151936,210.6151936
10046,110,120,boulders,5932454.9,1967841.4,210.6151936,200.6151936
10046,120,130,boulders,5932454.9,1967841.4,200.6151936,190.6151936
10046,130,140,boulders,5932454.9,1967841.4,190.6151936,180.6151936
10046,140,150,boulders,5932454.9,1967841.4,180.6151936,170.6151936
10046,180,190,boulders,5932454.9,1967841.4,140.6151936,130.6151936
10046,190,200,boulders,5932454.9,1967841.4,130.6151936,120.6151936
10046,200,210,boulders,5932454.9,1967841.4,120.6151936,110.6151936
10046,210,220,boulders,5932454.9,1967841.4,110.6151936,100.6151936
10046,220,230,boulders,5932454.9,1967841.4,100.6151936,90.61519359
10046,240,250,boulders,5932454.9,1967841.4,80.61519359,70.61519359
10046,250,260,boulders,5932454.9,1967841.4,70.61519359,60.61519359
10046,260,270,boulders,5932454.9,1967841.4,60.61519359,50.61519359
10046,270,280,boulders,5932454.9,1967841.4,50.61519359,40.61519359
10046,280,290,boulders,5932454.9,1967841.4,40.61519359,30.61519359
10046,290,300,boulders,5932454.9,1967841.4,30.61519359,20.61519359
10052,52.99,58.99,boulders,5936161.4,1963291.1,271.0151528,265.0151528
10052,50,60,boulders,5936161.4,1963291.1,274.0051528,264.0051528
1026,192,199.03,boulders,5879901.3,2003242.8,229.5099829,222.4799829
1026,262.02,265.01,boulders,5879901.3,2003242.8,159.4899829,156.4999829
1026,190,200,boulders,5879901.3,2003242.8,231.5099829,221.5099829
10386,199.03,200.99,boulders,5833243.7,2096423.6,-8.291464442,-10.25146444
10530,310.02,324.03,boulders,5901885.5,2000566.2,-25.91822474,-39.92822474
10530,310,320,boulders,5901885.5,2000566.2,-25.89822474,-35.89822474
1230,320.03,363.01,boulders,5828077.2,2109897,-82.23994815,-125.2199481
