BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
2,101.66,119.85,Salinas aquitard
2,119.85,233.5,180ft aquifer
2,233.5, ---,Middle aquitard
2, ---,101.66,Shallow aquifer
20,82.7,148.07,Salinas aquitard
20,148.07,299.24,180ft aquifer
20,299.24, ---,Middle aquitard
20,526.04, ---,400ft aquifer
20, ---,82.7,Shallow aquifer
22,63.21,92.78,Salinas aquitard
22,92.78,192.76,180ft aquifer
22,192.76,277.08,Middle aquitard
22,277.08,406.84,400ft aquifer
22,406.84, ---,Deep aquitard
22, ---,63.21,Shallow aquifer
33,24.08,157.55,180ft aquifer
33,157.55,192.72,Middle aquitard
33,192.72,270.46,400ft aquifer
33,270.46, ---,Deep aquitard
33, ---,24.08,Salinas aquitard
38,71.36,188.72,Salinas aquitard
38,188.72, ---,180ft aquifer
38, ---,71.36,Shallow aquifer
43,159.8,202.53,Salinas aquitard
43,202.53, ---,180ft aquifer
43, ---,159.8,Shallow aquifer
44,54.79,90.81,180ft aquifer
44,90.81, ---,Middle aquitard
44, ---,54.79,Salinas aquitard
48,160.21,250.21,180ft aquifer
48,250.21,367.15,Middle aquitard
48,367.15, ---,400ft aquifer
57,28.09,151.53,Salinas aquitard
57,151.53,255.8,180ft aquifer
57,255.8,498.12,Middle aquitard
57,498.12, ---,400ft aquifer
60,2.43,51.31,180ft aquifer
60,51.31, ---,Middle aquitard
60, ---,2.43,Salinas aquitard
66,58.95,84.48,Salinas aquitard
66,84.48,186.46,180ft aquifer
66,186.46, ---,Middle aquitard
66, ---,58.95,Shallow aquifer
75,130.63,227.34,Salinas aquitard
75,227.34,324.06,180ft aquifer
75,324.06,439.37,Middle aquitard
75,439.37, ---,400ft aquifer
75, ---,130.63,Shallow aquifer
87,70.91,93.38,Salinas aquitard
87,93.38, ---,180ft aquifer
87, ---,70.91,Shallow aquifer
108,40.46,67.65,Salinas aquitard
108,67.65,186.18,180ft aquifer
108,186.18, ---,Middle aquitard
108, ---,40.46,Shallow aquifer
109,50.88,226.37,Salinas aquitard
