Lithologic descriptor,Texture
blue sand,1
boulders,1
coarse gravel/sand,1
coarse sand,1
cobbles,1
crse grvl/sd,1
decomposed granite,1
fine gravel,1
fine sand,1
gravel,1
gravel/sand,1
red sand,1
sand,1
sandstone,1
white sand,1
yellow sand,1
adobe,0
bedrock,0
blue clay,0
brown clay,0
clay,0
granite,0
gravel/clay,0
gravel/rocks/clay,0
gravelly clay,0
no data,0
quicksand,0
red clay,0
sand/clay,0
sand/gravel/clay,0
sandy blue clay,0
sandy clay,0
sediment,0
shale,0
topsoil,0
white clay,0
yellow clay,0
