x,y,z,surface_code
5823068.7,2078930.9,19.79369530000001,Salinas aquitard
5823068.7,2078930.9,1.6036953000000125,180ft aquifer
5823068.7,2078930.9,-112.0463047,Middle aquitard
5781449.6,2157507.3,13.32421669,Salinas aquitard
5781449.6,2157507.3,-52.04578330999999,180ft aquifer
5781449.6,2157507.3,-203.21578331,Middle aquitard
5781449.6,2157507.3,-430.01578330999996,400ft aquifer
5780108.1,2141350.0,-10.462700160000004,Salinas aquitard
5780108.1,2141350.0,-40.032700160000005,180ft aquifer
5780108.1,2141350.0,-140.01270016,Middle aquitard
5780108.1,2141350.0,-224.33270016,400ft aquifer
5780108.1,2141350.0,-354.09270016,Deep aquitard
5847346.2,2071404.6,118.10433400000001,180ft aquifer
5847346.2,2071404.6,-15.365666000000004,Middle aquitard
5847346.2,2071404.6,-50.53566599999999,400ft aquifer
5847346.2,2071404.6,-128.27566599999997,Deep aquitard
5810061.6,2098888.5,17.715118059999995,Salinas aquitard
5810061.6,2098888.5,-99.64488194,180ft aquifer
5767378.5,2156214.6,-116.22497043000001,Salinas aquitard
5767378.5,2156214.6,-158.95497043,180ft aquifer
5894117.3,2028562.7,167.9709096,180ft aquifer
5894117.3,2028562.7,131.9509096,Middle aquitard
5751829.5,2162231.1,-145.01396183,180ft aquifer
5751829.5,2162231.1,-235.01396183,Middle aquitard
5751829.5,2162231.1,-351.95396182999997,400ft aquifer
5782760.6,2157853.1,39.99847672999999,Salinas aquitard
5782760.6,2157853.1,-83.44152327,180ft aquifer
5782760.6,2157853.1,-187.71152327000001,Middle aquitard
5782760.6,2157853.1,-430.03152327,400ft aquifer
5896886.8,2016217.8,264.9731378,180ft aquifer
5896886.8,2016217.8,216.09313780000002,Middle aquitard
5810940.6,2098217.2,32.487325729999995,Salinas aquitard
5810940.6,2098217.2,6.957325729999994,180ft aquifer
5810940.6,2098217.2,-95.02267427000001,Middle aquitard
5746325.0,2179188.9,-117.74879439,Salinas aquitard
5746325.0,2179188.9,-214.45879439,180ft aquifer
5746325.0,2179188.9,-311.17879439,Middle aquitard
5746325.0,2179188.9,-426.48879439,400ft aquifer
5814411.1,2094777.1,7.3456992600000035,Salinas aquitard
5814411.1,2094777.1,-15.124300739999995,180ft aquifer
5814177.1,2096904.7,37.25574753,Salinas aquitard
5814177.1,2096904.7,10.065747529999996,180ft aquifer
5814177.1,2096904.7,-108.46425247,Middle aquitard
5788428.6,2153445.1,55.08679469999999,Salinas aquitard
5788428.6,2153445.1,-120.40320530000001,180ft aquifer
5788428.6,2153445.1,-273.69320530000005,Middle aquitard
5788428.6,2153445.1,-347.6632053,400ft aquifer
5788428.6,2153445.1,-463.51320530000004,Deep aquitard
5766859.0,2143887.3,-58.51488893999999,Salinas aquitard
5766859.0,2143887.3,-89.99488894,180ft aquifer
5766859.0,2143887.3,-192.18488894,Middle aquitard
5766859.0,2143887.3,-320.01488894,400ft aquifer
5766859.0,2143887.3,-452.29488893999996,Deep aquitard
5833968.2,2083813.7,82.9857279,180ft aquifer
5833968.2,2083813.7,41.6757279,Middle aquitard
5833968.2,2083813.7,10.9557279,400ft aquifer
5833968.2,2083813.7,-268.2842721,Deep aquitard
5750275.0,2166295.3,-137.89675154,Salinas aquitard
5750275.0,2166295.3,-159.82675154,180ft aquifer
5750275.0,2166295.3,-229.02675154000002,Middle aquitard
5750275.0,2166295.3,-394.14675153999997,400ft aquifer
5750275.0,2166295.3,-570.02675154,Deep aquitard
5799846.1,2120079.2,12.793955920000002,Salinas aquitard
5799846.1,2120079.2,-137.84604407999998,180ft aquifer
5870845.3,2033742.1,112.81558539999999,180ft aquifer
5870845.3,2033742.1,75.4355854,Middle aquitard
5870845.3,2033742.1,-45.48441460000001,400ft aquifer
5811010.6,2113441.5,-69.58151877999998,Salinas aquitard
5811010.6,2113441.5,-145.78151878,180ft aquifer
5811010.6,2113441.5,-188.44151878,Middle aquitard
5811010.6,2113441.5,-239.64151877999998,400ft aquifer
5811010.6,2113441.5,-292.97151878,Deep aquitard
5811010.6,2113441.5,-461.49151878,Paso Robles
5768286.0,2166539.3,-68.69476247,Salinas aquitard
5768286.0,2166539.3,-148.73476247,180ft aquifer
5768286.0,2166539.3,-220.26476247,Middle aquitard
5768286.0,2166539.3,-309.48476247,400ft aquifer
5768286.0,2166539.3,-456.18476246999995,Deep aquitard
5811872.1,2097314.7,56.66940256,Salinas aquitard
5811872.1,2097314.7,-15.010597439999998,180ft aquifer
5811872.1,2097314.7,-90.02059744,Middle aquitard
5811872.1,2097314.7,-160.00059743999998,400ft aquifer
5811447.1,2109495.7,54.99629710000001,Shallow aquifer
5811447.1,2109495.7,25.006297100000005,Salinas aquitard
5811447.1,2109495.7,-70.01370289999998,180ft aquifer
5811447.1,2109495.7,-89.9937029,Middle aquitard
5811447.1,2109495.7,-150.0037029,400ft aquifer
5811447.1,2109495.7,-293.35370290000003,Deep aquitard
5787628.6,2118060.2,31.587880279999997,Salinas aquitard
5787628.6,2118060.2,-45.01211972,180ft aquifer
5787628.6,2118060.2,-158.96211971999998,Middle aquitard
5787628.6,2118060.2,-280.00211972,400ft aquifer
5787628.6,2118060.2,-400.02211972,Deep aquitard
5787628.6,2118060.2,-550.0221197200001,Paso Robles
5864805.2,2039991.1,90.6549404,180ft aquifer
5864805.2,2039991.1,53.91494039999999,Middle aquitard
5864805.2,2039991.1,23.574940400000003,400ft aquifer
5784575.6,2127790.8,12.931084090000006,Salinas aquitard
